,MAE/eV
1 CT,0.059901706748944406
2 CT,0.027162282817183924
3 CT,0.022124162123062098
4 CT,0.022124162123062098
5 CT,0.02106640370440722
6 CT,0.018128094808220686
7 CT,0.01514165509754628
8 CT,0.014947722765860339
9 CT,0.012513579666503905
10 CT,0.012414586138369465
