,MAE/eV
1 CT,0.007824917871644698
2 CT,0.003532317938526708
3 CT,0.003503616800628251
4 CT,0.0034040784273436262
5 CT,0.0033755289110119603
6 CT,0.003309124243969097
7 CT,0.003243437167107066
8 CT,0.003239276430412108
9 CT,0.003185128251341296
10 CT,0.00317220898584778
