,MAE/eV
1 CT,0.010578400237077613
2 CT,0.007103665942115778
4 CT,0.006995842253632101
6 CT,0.004587648607005579
8 CT,0.004564347308408867
10 CT,0.0034011626121263293
12 CT,0.0033990135312895963
14 CT,0.003398558092566106
16 CT,0.003350516948079263
18 CT,0.003165630846595535
20 CT,0.0031654186877486225
