,MAE/eV
1 CT,0.06410335556027727
2 CT,0.03087951967410698
4 CT,0.026359086520250707
6 CT,0.01643603644908197
8 CT,0.01617657378935099
10 CT,0.01283607714007573
12 CT,0.012867237109534958
14 CT,0.012873311290552669
16 CT,0.012673319252007254
