energies,oscillator strengths
3.5,1.0366232952896114e-05
3.5001,1.0371476384799024e-05
3.5002000000000004,1.0376723840713336e-05
3.5003000000000006,1.03819753248035e-05
3.500400000000001,1.0387230841239423e-05
3.500500000000001,1.0392490394196483e-05
3.5006000000000013,1.0397753987855496e-05
3.5007000000000015,1.040302162640277e-05
3.5008000000000017,1.0408293314030078e-05
3.500900000000002,1.0413569054934706e-05
3.501000000000002,1.0418848853319416e-05
3.5011000000000023,1.0424132713392492e-05
3.5012000000000025,1.0429420639367725e-05
3.5013000000000027,1.0434712635464444e-05
3.501400000000003,1.0440008705907499e-05
3.501500000000003,1.0445308854927286e-05
3.5016000000000034,1.0450613086759759e-05
3.5017000000000036,1.0455921405646426e-05
3.501800000000004,1.0461233815834363e-05
3.501900000000004,1.0466550321576242e-05
3.502000000000004,1.0471870927130285e-05
3.5021000000000044,1.0477195636760354e-05
3.5022000000000046,1.0482524454735878e-05
3.502300000000005,1.048785738533193e-05
3.502400000000005,1.0493194432829184e-05
3.5025000000000053,1.0498535601513953e-05
3.5026000000000055,1.05038808956782e-05
3.5027000000000057,1.050923031961952e-05
3.502800000000006,1.0514583877641175e-05
3.502900000000006,1.051994157405211e-05
3.5030000000000063,1.0525303413166916e-05
3.5031000000000065,1.05306693993059e-05
3.5032000000000068,1.0536039536795047e-05
3.503300000000007,1.054141382996604e-05
3.503400000000007,1.0546792283156294e-05
3.5035000000000074,1.0552174900708938e-05
3.5036000000000076,1.0557561686972828e-05
3.503700000000008,1.0562952646302575e-05
3.503800000000008,1.056834778305851e-05
3.5039000000000082,1.057374710160676e-05
3.5040000000000084,1.0579150606319196e-05
3.5041000000000087,1.0584558301573477e-05
3.504200000000009,1.0589970191753045e-05
3.504300000000009,1.059538628124713e-05
3.5044000000000093,1.0600806574450787e-05
3.5045000000000095,1.0606231075764861e-05
3.5046000000000097,1.061165978959605e-05
3.50470000000001,1.0617092720356868e-05
3.50480000000001,1.0622529872465665e-05
3.5049000000000103,1.0627971250346654e-05
3.5050000000000106,1.063341685842991e-05
3.5051000000000108,1.0638866701151374e-05
3.505200000000011,1.0644320782952876e-05
3.505300000000011,1.0649779108282127e-05
3.5054000000000114,1.0655241681592732e-05
3.5055000000000116,1.0660708507344226e-05
3.505600000000012,1.0666179590002035e-05
3.505700000000012,1.0671654934037541e-05
3.5058000000000122,1.0677134543928044e-05
3.5059000000000125,1.0682618424156789e-05
3.5060000000000127,1.0688106579213e-05
3.506100000000013,1.0693599013591839e-05
3.506200000000013,1.0699095731794462e-05
3.5063000000000133,1.0704596738328001e-05
