energies,oscillator strengths
3.5,8.294757233585608e-06
3.5001,8.298683174401191e-06
3.5002000000000004,8.302611922151338e-06
3.5003000000000006,8.306543479531262e-06
3.500400000000001,8.310477849239443e-06
3.500500000000001,8.31441503397761e-06
3.5006000000000013,8.31835503645077e-06
3.5007000000000015,8.32229785936719e-06
3.5008000000000017,8.326243505438428e-06
3.500900000000002,8.330191977379325e-06
3.501000000000002,8.334143277908e-06
3.5011000000000023,8.33809740974587e-06
3.5012000000000025,8.342054375617648e-06
3.5013000000000027,8.346014178251347e-06
3.501400000000003,8.349976820378288e-06
3.501500000000003,8.353942304733103e-06
3.5016000000000034,8.357910634053744e-06
3.5017000000000036,8.361881811081474e-06
3.501800000000004,8.3658558385609e-06
3.501900000000004,8.369832719239943e-06
3.502000000000004,8.37381245586986e-06
3.5021000000000044,8.377795051205267e-06
3.5022000000000046,8.381780508004106e-06
3.502300000000005,8.385768829027676e-06
3.502400000000005,8.389760017040629e-06
3.5025000000000053,8.39375407481099e-06
3.5026000000000055,8.397751005110133e-06
3.5027000000000057,8.40175081071281e-06
3.502800000000006,8.405753494397153e-06
3.502900000000006,8.40975905894466e-06
3.5030000000000063,8.413767507140224e-06
3.5031000000000065,8.417778841772137e-06
3.5032000000000068,8.421793065632069e-06
3.503300000000007,8.425810181515092e-06
3.503400000000007,8.429830192219696e-06
3.5035000000000074,8.433853100547772e-06
3.5036000000000076,8.437878909304622e-06
3.503700000000008,8.441907621298984e-06
3.503800000000008,8.445939239342998e-06
3.5039000000000082,8.449973766252262e-06
3.5040000000000084,8.454011204845781e-06
3.5041000000000087,8.458051557946027e-06
3.504200000000009,8.46209482837889e-06
3.504300000000009,8.466141018973733e-06
3.5044000000000093,8.470190132563372e-06
3.5045000000000095,8.474242171984078e-06
3.5046000000000097,8.478297140075577e-06
3.50470000000001,8.482355039681085e-06
3.50480000000001,8.48641587364729e-06
3.5049000000000103,8.490479644824355e-06
3.5050000000000106,8.494546356065928e-06
3.5051000000000108,8.498616010229162e-06
3.505200000000011,8.50268861017469e-06
3.505300000000011,8.506764158766656e-06
3.5054000000000114,8.510842658872713e-06
3.5055000000000116,8.514924113364021e-06
3.505600000000012,8.519008525115256e-06
