energies,oscillator strengths
3.5,4.9769271603251836e-06
3.5001,4.978682447749198e-06
3.5002000000000004,4.980438673999895e-06
3.5003000000000006,4.982195839754146e-06
3.500400000000001,4.983953945689433e-06
3.500500000000001,4.985712992483865e-06
3.5006000000000013,4.987472980816158e-06
3.5007000000000015,4.989233911365657e-06
3.5008000000000017,4.9909957848123166e-06
3.500900000000002,4.9927586018367135e-06
3.501000000000002,4.994522363120055e-06
3.5011000000000023,4.996287069344158e-06
3.5012000000000025,4.998052721191465e-06
3.5013000000000027,4.999819319345041e-06
3.501400000000003,5.001586864488577e-06
3.501500000000003,5.003355357306385e-06
3.5016000000000034,5.005124798483403e-06
3.5017000000000036,5.006895188705194e-06
3.501800000000004,5.008666528657951e-06
3.501900000000004,5.010438819028486e-06
3.502000000000004,5.0122120605042414e-06
3.5021000000000044,5.0139862537732985e-06
3.5022000000000046,5.01576139952435e-06
3.502300000000005,5.01753749844673e-06
3.502400000000005,5.019314551230398e-06
3.5025000000000053,5.021092558565948e-06
3.5026000000000055,5.022871521144605e-06
3.5027000000000057,5.024651439658223e-06
3.502800000000006,5.026432314799291e-06
3.502900000000006,5.0282141472609354e-06
3.5030000000000063,5.02999693773691e-06
3.5031000000000065,5.03178068692161e-06
3.5032000000000068,5.033565395510068e-06
3.503300000000007,5.035351064197944e-06
3.503400000000007,5.037137693681543e-06
3.5035000000000074,5.038925284657809e-06
3.5036000000000076,5.040713837824318e-06
3.503700000000008,5.042503353879293e-06
3.503800000000008,5.044293833521594e-06
3.5039000000000082,5.046085277450717e-06
3.5040000000000084,5.047877686366806e-06
3.5041000000000087,5.0496710609706495e-06
3.504200000000009,5.05146540196367e-06
3.504300000000009,5.053260710047943e-06
3.5044000000000093,5.055056985926181e-06
3.5045000000000095,5.056854230301748e-06
3.5046000000000097,5.05865244387865e-06
3.50470000000001,5.060451627361541e-06
3.50480000000001,5.062251781455721e-06
3.5049000000000103,5.064052906867139e-06
3.5050000000000106,5.065855004302397e-06
3.5051000000000108,5.067658074468736e-06
3.505200000000011,5.069462118074059e-06
3.505300000000011,5.0712671358269125e-06
3.5054000000000114,5.073073128436495e-06
3.5055000000000116,5.074880096612666e-06
3.505600000000012,5.076688041065923e-06
3.505700000000012,5.078496962507435e-06
3.5058000000000122,5.080306861649009e-06
3.5059000000000125,5.082117739203118e-06
3.5060000000000127,5.083929595882886e-06
3.506100000000013,5.085742432402098e-06
3.506200000000013,5.087556249475195e-06
3.5063000000000133,5.089371047817274e-06
3.5064000000000135,5.0911868281440936e-06
