distances,S0,S1,S2,S3,S4
-8.0,0.6054850834011631,4.748522592178099,4.823281911774499,5.012872972279585,5.016429150627655
-7.0,0.5411179433676807,4.672370783138953,4.763277970784039,4.9382201248478195,4.950752580831008
-6.0,0.45537422815141326,4.556670784015785,4.671463975734441,4.850958310955855,4.862194407479322
-5.0,0.359934456933388,4.496200092204024,4.519010227429554,4.7351133796732725,4.760564003612011
-4.5,0.32478027578736146,4.428149373672674,4.489674145447694,4.65423736180419,4.728320465120964
-4.0,0.2674873091855261,4.35524679474704,4.44414782453745,4.596269764016611,4.6701036840854275
-3.9,0.2529816767164448,4.345117028083289,4.432109109913339,4.59023530338311,4.654922026140151
-3.8,0.23804942229799053,4.336456963791174,4.420231771876143,4.585658130798074,4.6392739705686425
-3.7,0.22304509136802153,4.328986821613765,4.408966558436609,4.581917397200819,4.6235823443888275
-3.6,0.20830987711588023,4.322248611955601,4.398641768292039,4.578178239747894,4.608255298085764
-3.5,0.19414196909110615,4.315651676522603,4.38942246894359,4.573463233552541,4.593650840122083
-3.4,0.18077802853986213,4.308525759453053,4.381289906557924,4.566755931595243,4.580054771036311
-3.3,0.16837568951177673,4.300193619348815,4.374024705229022,4.557125938262115,4.567661094981955
-3.2,0.15701316808372212,4.290068958944234,4.367220064529857,4.543869204059364,4.556569585706306
-3.1,0.14669059570451282,4.277747387893166,4.36031426485954,4.526618410885685,4.546784945476002
-3.0,0.13733620420407533,4.263076798811477,4.352647934247196,4.505409054669342,4.538221623139737
-2.9,0.12881706865982778,4.246191544731671,4.343550449856378,4.480697064455669,4.530714204394444
-2.8,0.12094617782940986,4.22749121223729,4.332433037581842,4.453307009745074,4.524024659854709
-2.7,0.11349578395174831,4.207580565747179,4.318884045506213,4.424344016728156,4.517858252120525
-2.6,0.10621485032334022,4.187186327009285,4.302740554929019,4.395084172969973,4.511884009995553
-2.5,0.09884966630215786,4.167076718855923,4.284121685970181,4.3668734976174886,4.505762153558972
-2.4,0.0911692717158985,4.147993548787437,4.263415532942807,4.341017123461224,4.499176254420205
-2.3,0.08299214681846934,4.130605582255713,4.241173514504103,4.318719491857104,4.49187039447159
-2.2,0.0742180602769622,4.115471344733399,4.218314048202265,4.300997961843278,4.483690386115622
-2.1,0.06484507026243591,4.102993728684864,4.195722048894348,4.288667500582646,4.474608250299766
-2.0,0.05498476745287917,4.093458544708346,4.174495244504395,4.282276773180317,4.464742471212862
-1.9,0.044860160169719165,4.086745204860382,4.155456766231277,4.282055072197954,4.45435982985796
-1.8,0.03479447529980462,4.082427837056999,4.1396914996604615,4.287787981304886,4.443859149751789
-1.7,0.02519022674232474,4.079515612266156,4.128145497245363,4.298762494714297,4.4337432727422925
-1.6,0.016500600525432674,4.076336545166045,4.121570996422649,4.313632262804052,4.424577392118811
-1.5,0.009199229989462765,4.070559726047436,4.120592520300275,4.330407996748834,4.416944012296176
-1.4,0.0037476834008884907,4.0595031018638394,4.125583025747953,4.346484780537105,4.4113965805867865
-1.3,0.0005655865452354192,4.0408968123739175,4.1366533049467185,4.358892818470779,4.4084168373233785
-1.2,3.183231456205249e-12,4.013795304169433,4.153617992692456,4.364812791398434,4.408375774386432
-1.1,0.0022928980406504706,3.9789834791719545,4.175954590901529,4.362235342253529,4.411498910528252
-1.0,0.0075458763540154905,3.9385727813807163,4.202810300512088,4.350501355367149,4.417833841388742
-0.9,0.01568714770473889,3.8952339977296853,4.232986138895538,4.330407671576497,4.427229925726049
-0.8,0.026437225782501628,3.851566907188156,4.264963977148794,4.303903067212525,4.439310925771938
-0.7,0.039294009897730575,3.8097708805815325,4.273536627839335,4.297000740083658,4.45347791037146
-0.6,0.053534578332801175,3.770735354275594,4.241976689159002,4.327265561680144,4.46892768263982
-0.5,0.0682393150777898,3.7375394347788484,4.21161813124896,4.354234167162078,4.484679930371972
-0.4,0.08235872056275184,3.7099917628165837,4.18448217169043,4.376737490259877,4.499651382777941
-0.3,0.09480219530541945,3.688408685128708,4.1620364829215335,4.394211422836439,4.512741283557752
-0.2,0.10454847625396724,3.6730149392603937,4.145324834733977,4.406524638679238,4.522934165919806
-0.1,0.11076298289799524,3.6638471489378315,4.135071153033384,4.413809073186852,4.529408794884125
0.0,0.11289800403528716,3.6607832328350076,4.131613396051659,4.416216433063003,4.531628986952282
0.1,0.1107629829043617,3.663802772639176,4.135094304192291,4.413809105361267,4.52940878037521
0.2,0.104548476250784,3.6730142467547875,4.14532443356042,4.4065246314987405,4.522934156666271
0.3,0.0948021953049647,3.6884089192911316,4.162036489146989,4.394211424976855,4.512741286783611
0.4,0.0823587205604781,3.709959745112433,4.184463323503978,4.376739314420159,4.4996514478667535
0.5,0.0682393150768803,3.737565252626433,4.211631758568055,4.354231017070745,4.484679826343841
0.6,0.0535345783368939,3.770754396631171,4.241979701533999,4.327261230907785,4.468927674585365
0.7,0.0392940099018233,3.809783673915163,4.273536222159486,4.296995965558604,4.453477909087945
0.8,0.0264372257870491,3.851566917119225,4.26496397604157,4.303903063108065,4.439310926181557
0.9,0.015687147707012628,3.895233980886632,4.232986139411443,4.330407384046766,4.427229957999811
1.0,0.007545876359927206,3.9385720683970393,4.202811181414195,4.350500202799484,4.417833910927964
1.1,0.0022928980406504706,3.9789834831527373,4.175954583376002,4.3622353528169855,4.411498899260062
1.2,0.0,4.013795387381818,4.153617800409972,4.3648128398385,4.408375749671679
1.3,0.0005655865493281453,4.040896326553105,4.136657951312098,4.358892998335406,4.408416800978465
1.4,0.003747683399978996,4.059503041787631,4.125588242127054,4.346485008675879,4.411396556154706
