distance,5 LE 5 CT,10 LE 5 CT,10 LE 10 CT,15 LE 10 CT,20 LE 15 CT,30 LE 20 CT
2.5,0.4336987979273743,0.40676984725462884,0.19293016302675425,0.19455764547044663,0.18624539867546583,0.17844718718701788
2.75,0.13642013302302666,0.11821659227451242,0.07415796063399978,0.07369522544993523,0.07271347443511093,0.0710392738420309
3.0,0.034509965880801984,0.02374522020566257,0.02156774416340738,0.02157668929784262,0.021994252152456022,0.020564577277239964
3.5,0.00987409411331345,0.005910085437894767,0.005587564921796388,0.005587535529042083,0.0055865131684368725,0.004845931585337526
4.0,0.005561528030479046,0.003174208780575801,0.0031650745319803755,0.0031651392436664594,0.0031650006207154155,0.0026933556178739457
5.0,0.002504143494525657,0.001389045273889759,0.0013890359662608691,0.0013890653953295324,0.0013890330741421764,0.001179526738087559
