distances,S0,S1,S2,S3,S4,S5,S6
2.5,4.127044480226687,5.456186974655083,6.037955134711737,6.667017323050562,6.84554215595136,7.19033830564835,7.31274005687337
2.55,3.11741553210004,4.70861874973625,5.287613582662132,5.9170612483768785,6.10311629261143,6.45000962795885,6.569841361964462
2.6,2.3188913533622326,4.156739687279202,4.732463474493149,5.362322884770427,5.555423023331079,5.904930488852184,6.020603155005367
2.65,1.6944411126737577,3.763869389037401,4.335730751075921,4.9659895361487925,5.165982686003716,5.518342735586184,5.628214047634691
2.7,1.2123039259909092,3.498518554967042,4.065819684109308,4.696419548017481,4.903498651964423,5.25861971411763,5.295834064839049
2.75,0.8454415433016038,3.3338829585220355,3.8958015019083247,4.5266423226912895,4.741352760679574,5.0158321702257345,5.099110408368919
2.8,0.5710326519883893,3.247361930428428,3.8029423888830074,4.4338757699090365,4.657124922951122,4.819861670309493,4.836280110172272
2.85,0.37000585872146985,3.220111659298482,3.768257901991171,4.399095781994852,4.632146562392904,4.640626168104347,4.688519768747249
2.9,0.22658183917337738,3.23659466493289,3.776077219646066,4.406596082886169,4.501293324527851,4.606053118102409,4.62557767028519
2.95,0.12784698353834756,3.2841617671010472,3.813631376142232,4.405540720754266,4.443593065921442,4.530557517272884,4.5597631120868565
3.0,0.06334467425858747,3.3526365435211574,3.870674144470323,4.343073518122117,4.469133969844193,4.499832188164858,4.539609101769129
3.05,0.024707797571409174,3.433955816030401,3.939137892956796,4.305676266030573,4.433015341283376,4.537813316489986,4.567266885662709
3.1,0.005317060068136925,3.5218272204544623,4.012829506949206,4.286867419902372,4.415656623897526,4.548492506915345,4.58170653234428
3.15,0.0,3.611439590294133,4.087168279156393,4.281596400234104,4.411956330978647,4.567303564138436,4.592385118996658
3.2,0.0047625364773011825,3.699214317178709,4.158946619891629,4.2859760466827215,4.417985615147005,4.591116038558559,4.609826425780434
3.25,0.016562254585551273,3.78260760659823,4.226115664985475,4.297055162348374,4.430761778103976,4.617729011777322,4.631531295282182
3.3,0.033111455987182126,3.8599497549458768,4.28756770563141,4.312622816442594,4.4480496964568905,4.645634866629095,4.655713584518352
3.35,0.05271431847677377,3.9303137526777245,4.3310470552866125,4.342919706517348,4.468199309414301,4.673829363998657,4.681121808257459
3.4,0.07413332053420163,3.993395129939771,4.351142517199923,4.392304819339869,4.4900120480012,4.701667166576896,4.706899768650573
3.45,0.0964798294198772,4.049378573567024,4.372062608128538,4.436177390411189,4.512631924216991,4.728751105950127,4.732477393480264
3.5,0.11912793950659761,4.09879531755157,4.393215000795053,4.475155878811202,4.535460151491334,4.754853134982612,4.757487844974523
3.55,0.14164603424478628,4.142389882202182,4.414194079848244,4.509909658227949,4.558087124460444,4.779859970589208,4.781710322600455
3.6,0.1637461870232073,4.180992470801002,4.434732528043076,4.541086049694878,4.580241861038765,4.803728178916037,4.805019750572542
3.65,0.1852408827708132,4.2154046997086,4.454658133182889,4.569260798157495,4.601750954096388,4.826461824484395,4.827358094267265
3.7,0.2060148155501338,4.246346332929411,4.473867248146272,4.594924444423207,4.6225099577723725,4.848089610407266,4.848707802892809
