distances,S0,S1,S2,S3,S4,S5,S6
2.5,4.12704617363579,5.609870108332571,6.172695217895987,6.797618062566675,7.081430437736927,7.473388463666302,7.492260213199415
2.55,3.1174174619409314,4.836767021896306,5.39552495361334,6.020243325298299,6.303511505759985,6.643455003044996,6.699362120184919
2.6,2.3188913788385435,4.26730037345663,4.821730504299834,5.446678943490674,5.729554748110921,5.998890480090226,6.1179735779796545
2.65,1.6944411732056324,3.8614060919386146,4.409622337938654,5.036505513613124,5.3191879641092,5.514603395089615,5.702778310420672
2.7,1.2123042586454176,3.582897260170844,4.126623344703283,4.7523278427788025,5.036818976035394,5.158983086062861,5.335362326044934
2.75,0.8454408043207877,3.406236599849648,3.945552098775437,4.571739530172939,4.8568223524822605,4.905698706899305,5.055635540525374
2.8,0.5710320450079962,3.310597064382213,3.844093828603764,4.470649751699737,4.731956607630466,4.758366289265659,4.858118260837222
2.85,0.3700055313779558,3.2760061662349425,3.801711761349364,4.4284525149527205,4.619203268891731,4.677756906699537,4.72131479843963
2.9,0.22658242541047002,3.285760249702049,3.803133001946729,4.429654366994686,4.536854946125551,4.552096219844391,4.637858793948129
2.95,0.12784723108643448,3.3274592730973676,3.835281811337453,4.4378212789116285,4.461794877034031,4.518346714420341,4.546898781902238
3.0,0.06334515047910827,3.391355824794626,3.8881861928057333,4.371599980753604,4.482413157348718,4.508293857343605,4.5141403328959475
3.05,0.0247082328801298,3.4686005494569234,3.9531631102296894,4.330611130925265,4.443635400316697,4.514501978505125,4.557454241935515
3.1,0.005317452977578796,3.5532026817772993,4.02403284499395,4.308635882005294,4.424048435894574,4.531411029706552,4.564485253535139
3.15,0.0,3.6400218667329027,4.096148265426565,4.300695353403923,4.418531173431985,4.5549814711246635,4.580084171066258
3.2,0.004762557891808683,3.7254540603043487,4.1661734576998395,4.302884201492022,4.423112494130449,4.58236012627224,4.601161081008248
3.25,0.01656229564559908,3.8069150618402654,4.231958275188607,4.3121903250317315,4.4347555073181955,4.6115967101203275,4.625507753863002
3.3,0.03311151443995186,3.882612059759523,4.292330067548495,4.326331745540265,4.451170356507171,4.641398358303449,4.6515799845773484
3.35,0.05271439172247483,3.9515661257913246,4.343607593651402,4.346849700936185,4.470655921934762,4.6709400982292735,4.678320109851202
3.4,0.07413340584116668,4.013414863062556,4.362772013679152,4.395590086098223,4.491968894367285,4.699720371977986,4.705023446345566
3.45,0.09647992421150775,4.068297360928838,4.382928162255511,4.438963467791458,4.514215617887025,4.727453989975763,4.731235208691705
3.5,0.11912804154735568,4.116712853158905,4.403443436067796,4.477553788397808,4.53676653942363,4.7539975768607565,4.756674388403224
3.55,0.14164657564606387,4.159383026895379,4.423881624859071,4.512002513996042,4.559187985929508,4.779299420198902,4.7811818630388325
3.6,0.16374671269522878,4.197124272772963,4.443950425673483,4.542936284252107,4.5811897268905915,4.803363981750934,4.80468000200695
3.65,0.1852413917404192,4.230729779566233,4.463460553226634,4.570915371934891,4.602584233845147,4.826226229505312,4.827141228111967
3.7,0.2060153069091939,4.260914379445043,4.482295328755977,4.5964186907443905,4.623256325527045,4.84793744895206,4.84856994642424
3.75,0.22600335844572328,4.288286964719781,4.500388780998408,4.619843299583909,4.6431413567893856,4.868555660986782,4.868990691285122
3.8,0.24517449186987506,4.313344467236877,4.5177092602364235,4.641510163325648,4.662208921055422,4.888140308181453,4.888438126830733
